Scenario - EJ_RSBC_5go1st_cond(50)tra(75%)												
Logfile written - 04/15/2021 18:46:22												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
210415_RL#219_15g	14	Picture	777	135014	0	2	20125	4	0	next	other	0
210415_RL#219_15g	14	Manual	1	155025	20010	NA						
210415_RL#219_15g	15	Sound	212	155144	5	2			0		other	0
210415_RL#219_15g	16	Picture	555	160204	0	3	10130	5	0	next	false_alarm	110
210415_RL#219_15g	16	Port Input	1	169234	9030	3						
210415_RL#219_15g	16	Response	1	169234	9030	3						
210415_RL#219_15g	16	Port Input	1	169237	9033	3						
210415_RL#219_15g	16	Response	1	169237	9033	3						
210415_RL#219_15g	17	Picture	10	170334	0	3	8796	4	0	next	hit	115
210415_RL#219_15g	17	Port Input	1	178990	8656	3						
210415_RL#219_15g	17	Response	1	178990	8656	3						
210415_RL#219_15g	18	Picture	311	179131	0	2	265	5	0	next	other	0
210415_RL#219_15g	19	Picture	444	179396	0	3	80104	5	0	next	false_alarm	119
210415_RL#219_15g	19	Port Input	1	196605	17209	4						
210415_RL#219_15g	19	Response	1	196605	17209	4						
210415_RL#219_15g	19	Port Input	1	245508	66112	3						
210415_RL#219_15g	19	Response	1	245508	66112	3						
210415_RL#219_15g	19	Port Input	1	246780	67384	3						
210415_RL#219_15g	19	Response	1	246780	67384	3						
210415_RL#219_15g	19	Port Input	1	248175	68779	3						
210415_RL#219_15g	19	Response	1	248175	68779	3						
210415_RL#219_15g	20	Picture	444	259500	0	2	80369	5	0	next	other	0
210415_RL#219_15g	21	Picture	666	339869	0	3	20125	5	0	next	other	0
210415_RL#219_15g	22	Picture	777	359994	0	2	20127	5	0	next	other	0
210415_RL#219_15g	22	Manual	1	380004	20010	NA						
210415_RL#219_15g	23	Sound	211	380126	5	2			0		other	0
210415_RL#219_15g	24	Picture	555	385185	0	2	10130	4	0	next	false_alarm	133
210415_RL#219_15g	24	Port Input	1	386350	1165	3						
210415_RL#219_15g	24	Response	1	386350	1165	3						
210415_RL#219_15g	24	Port Input	1	388970	3785	3						
210415_RL#219_15g	24	Response	1	388970	3785	3						
210415_RL#219_15g	24	Port Input	1	390556	5371	3						
210415_RL#219_15g	24	Response	1	390556	5371	3						
210415_RL#219_15g	24	Port Input	1	393339	8154	3						
210415_RL#219_15g	24	Response	1	393339	8154	3						
210415_RL#219_15g	24	Port Input	1	394853	9668	4						
210415_RL#219_15g	24	Response	1	394853	9668	4						
210415_RL#219_15g	24	Port Input	1	394856	9671	3						
210415_RL#219_15g	24	Response	1	394856	9671	3						
210415_RL#219_15g	25	Picture	10	395315	0	2	932	4	0	next	hit	146
210415_RL#219_15g	25	Port Input	1	396220	905	3						
210415_RL#219_15g	25	Response	1	396220	905	3						
210415_RL#219_15g	26	Picture	351	396247	0	2	267	4	0	next	other	0
210415_RL#219_15g	27	Picture	1	396514	0	3	20127	4	0	next	false_alarm	150
210415_RL#219_15g	27	Port Input	1	398111	1597	4						
210415_RL#219_15g	27	Response	1	398111	1597	4						
210415_RL#219_15g	27	Port Input	1	398115	1601	4						
210415_RL#219_15g	27	Response	1	398115	1601	4						
210415_RL#219_15g	27	Port Input	1	399135	2622	3						
210415_RL#219_15g	27	Response	1	399135	2622	3						
210415_RL#219_15g	27	Port Input	1	400229	3715	3						
210415_RL#219_15g	27	Response	1	400229	3715	3						
210415_RL#219_15g	27	Port Input	1	400232	3718	3						
210415_RL#219_15g	27	Response	1	400232	3718	3						
210415_RL#219_15g	27	Port Input	1	400235	3721	4						
210415_RL#219_15g	27	Response	1	400235	3721	4						
210415_RL#219_15g	27	Port Input	1	401432	4918	3						
210415_RL#219_15g	27	Response	1	401432	4918	3						
210415_RL#219_15g	27	Port Input	1	402729	6215	4						
210415_RL#219_15g	27	Response	1	402729	6215	4						
210415_RL#219_15g	27	Port Input	1	404035	7521	4						
210415_RL#219_15g	27	Response	1	404035	7521	4						
210415_RL#219_15g	27	Port Input	1	405412	8898	3						
210415_RL#219_15g	27	Response	1	405412	8898	3						
210415_RL#219_15g	27	Port Input	1	406854	10341	4						
210415_RL#219_15g	27	Response	1	406854	10341	4						
210415_RL#219_15g	27	Port Input	1	408316	11803	3						
210415_RL#219_15g	27	Response	1	408316	11803	3						
210415_RL#219_15g	27	Port Input	1	408320	11807	3						
210415_RL#219_15g	27	Response	1	408320	11807	3						
210415_RL#219_15g	27	Port Input	1	409788	13274	3						
210415_RL#219_15g	27	Response	1	409788	13274	3						
210415_RL#219_15g	27	Port Input	1	411283	14769	4						
210415_RL#219_15g	27	Response	1	411283	14769	4						
210415_RL#219_15g	27	Port Input	1	412610	16097	3						
210415_RL#219_15g	27	Response	1	412610	16097	3						
210415_RL#219_15g	27	Port Input	1	414091	17578	3						
210415_RL#219_15g	27	Response	1	414091	17578	3						
210415_RL#219_15g	27	Port Input	1	414094	17580	3						
210415_RL#219_15g	27	Response	1	414094	17580	3						
210415_RL#219_15g	27	Port Input	1	415575	19061	4						
210415_RL#219_15g	27	Response	1	415575	19061	4						
210415_RL#219_15g	28	Picture	3511	416640	0	2	400	4	0	next	other	0
210415_RL#219_15g	29	Picture	666	417041	0	3	20125	4	0	next	false_alarm	190
210415_RL#219_15g	29	Port Input	1	417067	26	4						
210415_RL#219_15g	29	Response	1	417067	26	4						
210415_RL#219_15g	29	Port Input	1	418567	1526	3						
210415_RL#219_15g	29	Response	1	418567	1526	3						
210415_RL#219_15g	29	Port Input	1	420024	2984	4						
210415_RL#219_15g	29	Response	1	420024	2984	4						
210415_RL#219_15g	29	Port Input	1	421425	4385	3						
210415_RL#219_15g	29	Response	1	421425	4385	3						
210415_RL#219_15g	29	Port Input	1	422993	5952	4						
210415_RL#219_15g	29	Response	1	422993	5952	4						
210415_RL#219_15g	29	Port Input	1	422997	5956	4						
210415_RL#219_15g	29	Response	1	422997	5956	4						
210415_RL#219_15g	30	Picture	777	437166	0	2	20125	4	0	next	other	0
210415_RL#219_15g	30	Manual	2	457183	20017	NA						
210415_RL#219_15g	31	Sound	211	457295	4	2			0		other	0
210415_RL#219_15g	31	Port Input	1	460845	3554	4						
210415_RL#219_15g	31	Response	1	460845	3554	4						
210415_RL#219_15g	31	Port Input	1	462341	5050	4						
210415_RL#219_15g	31	Response	1	462341	5050	4						
210415_RL#219_15g	32	Picture	555	462356	0	3	10130	4	0	next	false_alarm	210
210415_RL#219_15g	32	Port Input	1	463923	1567	4						
210415_RL#219_15g	32	Response	1	463923	1567	4						
210415_RL#219_15g	32	Port Input	1	466345	3989	3						
210415_RL#219_15g	32	Response	1	466345	3989	3						
210415_RL#219_15g	32	Port Input	1	470639	8284	3						
210415_RL#219_15g	32	Response	1	470639	8284	3						
210415_RL#219_15g	32	Port Input	1	472438	10082	4						
210415_RL#219_15g	32	Response	1	472438	10082	4						
210415_RL#219_15g	33	Picture	10	472485	0	2	1599	4	0	next	hit	219
210415_RL#219_15g	33	Port Input	1	474035	1549	4						
210415_RL#219_15g	33	Response	1	474035	1549	4						
210415_RL#219_15g	34	Picture	351	474084	0	3	268	5	0	next	other	0
210415_RL#219_15g	35	Picture	1	474352	0	2	20126	4	0	next	false_alarm	223
210415_RL#219_15g	35	Port Input	1	475722	1370	3						
210415_RL#219_15g	35	Response	1	475722	1370	3						
210415_RL#219_15g	35	Port Input	1	475724	1373	4						
210415_RL#219_15g	35	Response	1	475724	1373	4						
210415_RL#219_15g	35	Port Input	1	476764	2412	3						
210415_RL#219_15g	35	Response	1	476764	2412	3						
210415_RL#219_15g	35	Port Input	1	477922	3570	3						
210415_RL#219_15g	35	Response	1	477922	3570	3						
210415_RL#219_15g	35	Port Input	1	479123	4772	3						
210415_RL#219_15g	35	Response	1	479123	4772	3						
210415_RL#219_15g	35	Port Input	1	480389	6037	3						
210415_RL#219_15g	35	Response	1	480389	6037	3						
210415_RL#219_15g	35	Port Input	1	480392	6040	3						
210415_RL#219_15g	35	Response	1	480392	6040	3						
210415_RL#219_15g	35	Port Input	1	481683	7331	3						
210415_RL#219_15g	35	Response	1	481683	7331	3						
210415_RL#219_15g	35	Port Input	1	483019	8668	4						
210415_RL#219_15g	35	Response	1	483019	8668	4						
210415_RL#219_15g	35	Port Input	1	484225	9874	3						
210415_RL#219_15g	35	Response	1	484225	9874	3						
210415_RL#219_15g	35	Port Input	1	485580	11229	4						
210415_RL#219_15g	35	Response	1	485580	11229	4						
210415_RL#219_15g	35	Port Input	1	486900	12548	3						
210415_RL#219_15g	35	Response	1	486900	12548	3						
210415_RL#219_15g	35	Port Input	1	486904	12552	3						
210415_RL#219_15g	35	Response	1	486904	12552	3						
210415_RL#219_15g	35	Port Input	1	488147	13795	3						
210415_RL#219_15g	35	Response	1	488147	13795	3						
210415_RL#219_15g	35	Port Input	1	489424	15072	4						
210415_RL#219_15g	35	Response	1	489424	15072	4						
210415_RL#219_15g	35	Port Input	1	489428	15076	3						
210415_RL#219_15g	35	Response	1	489428	15076	3						
210415_RL#219_15g	36	Picture	3511	494478	0	2	266	3	0	next	other	0
210415_RL#219_15g	37	Picture	666	494744	0	2	20125	3	0	next	other	0
210415_RL#219_15g	38	Picture	777	514869	0	2	20126	4	0	next	other	0
210415_RL#219_15g	38	Manual	2	534880	20010	NA						
210415_RL#219_15g	39	Sound	212	534999	4	2			0		other	0
210415_RL#219_15g	40	Picture	555	540060	0	2	10129	4	0	next	other	0
210415_RL#219_15g	41	Picture	10	550189	0	2	20126	4	0	next	miss	0
210415_RL#219_15g	42	Picture	411	570315	0	2	533	4	0	next	other	0
210415_RL#219_15g	43	Picture	666	570847	0	2	20126	4	0	next	other	0
210415_RL#219_15g	44	Picture	777	590974	0	3	20126	4	0	next	other	0
210415_RL#219_15g	44	Manual	1	610984	20010	NA						
210415_RL#219_15g	45	Sound	212	611103	4	2			0		other	0
210415_RL#219_15g	46	Picture	555	616164	0	2	10130	4	0	next	other	0
210415_RL#219_15g	47	Picture	10	626294	0	2	20125	4	0	next	miss	0
